Symbol,Description,marketCapType,Pre-market Change %,Pre-market Gap %,Market capitalization,Price,Pre-market Open,Industry,Index,Sector,Exchange,Recent earnings date,Upcoming earnings date,Float shares outstanding,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Relative Volume 1 day,Relative Volume 5 minutes,Relative Volume 30 minutes,Relative Volume at Time,Analyst Rating,Technical Rating 5 minutes
TEM,"Tempus AI, Inc.",Mid caps,2.1835132482826314,0.6378802747792078,6417485448.000001,40.76,41.02,Packaged software,"NASDAQ Composite, Nasdaq US Mid Cap Growth, NASDAQ Biotechnology",Technology services,NASDAQ,2024-11-04,2025-02-26,49074478.6133,3537321.4,3501711.0,1939541.822222222,1.3131747407515315,3.869422204089959,2.3435597836139657,1.3894475721094024,Buy,Strong buy
AGX,"Argan, Inc.",Mid caps,2.066713618029329,1.4789679236826956,2120297426.0,156.19,158.5,Engineering & construction,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Industrial services,NYSE,2024-12-05,2025-04-09,12958953.3612,249355.6,287220.9666666667,302295.7555555556,1.831602868611028,5.629607676064165,3.658525715304394,1.893360721944099,Neutral,Neutral
SG,"Sweetgreen, Inc.",Mid caps,1.99742415569549,0.8013737836290817,4041643198.000001,34.94,35.22,Restaurants,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Consumer services,NYSE,2024-11-07,2025-02-27,95345657.54169,2157491.2,2457474.933333333,2910516.611111111,1.383584664966394,9.893748297930284,3.5337196264613406,1.39798503039346,Buy,Sell
FUN,Six Flags Entertainment Corporation,Mid caps,1.979187920832481,1.979187920832481,4914661250.0,49.01,49.98,Movies/Entertainment,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Consumer services,NYSE,2024-11-06,2025-02-12,98052605.642,986986.7,1264488.2,1523127.6555555556,1.9321683582883844,5.846789544149917,3.2180423473238737,2.618157450494078,Buy,Sell
BE,Bloom Energy Corporation,Mid caps,1.8838304552590284,0.9419152276295072,5824116089.0,25.48,25.72,Electrical products,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000, NASDAQ Clean Edge Green Energy",Producer manufacturing,NYSE,2024-11-07,2025-02-06,192533450.592,4533243.5,6782685.233333333,7304032.266666667,1.3713026121135372,6.887467970383412,2.388862916892175,1.4758763821638743,Buy,Sell
RNA,"Avidity Biosciences, Inc.",Mid caps,1.8459579885423243,1.8459579885423243,3748698798.0,31.42,32.0,Biotechnology,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Biotechnology, Mini-Russell 2000",Health technology,NASDAQ,2024-11-07,2025-03-04,108549952.998,1218923.5,1238127.933333333,1249615.1555555556,0.79060209340974,7.836824749116272,3.888584817973074,0.7936017209481666,Strong buy,Sell
APLD,Applied Digital Corporation,Mid caps,1.7364657814096192,1.327885597548527,2068094469.0,9.79,9.92,Data processing services,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Computer, Mini-Russell 2000",Technology services,NASDAQ,2024-10-09,2025-01-14,159521058.612,15946583.3,17386353.76666667,17033437.3,1.3105440216005977,4.366832862987297,3.1427493172086725,1.44385966859916,Strong buy,Strong buy
DOOO,BRP Inc.,Mid caps,1.7336635549628436,2.6862259477995742,3832303185.17944,52.49,53.9,Trucks/Construction/Farm machinery,"NASDAQ Composite, NASDAQ Industrials",Producer manufacturing,NASDAQ,2024-12-06,2025-03-21,21298241.454,102093.7,160754.73333333334,145985.03333333333,0.8864952502944773,4.461220017046147,2.7851486524034454,0.7738664468260511,Buy,Buy
KTOS,"Kratos Defense & Security Solutions, Inc.",Mid caps,1.5025397900440225,1.6254656281747388,4461211870.0,29.53,30.01,Aerospace & defense,"NASDAQ Composite, Russell 2000, Russell 3000, NASDAQ Industrials, Mini-Russell 2000",Electronic technology,NASDAQ,2024-11-07,2025-02-20,147757321.404,1309300.9,1166643.4,1088331.1,3.453002839846006,3.1425789449134753,1.6294656466763615,5.026248395581059,Buy,Buy
KD,"Kyndryl Holdings, Inc.",Mid caps,1.4975471210947726,0.7745933384972999,8995853208.000002,38.73,39.03,Data processing services,"S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Technology services,NYSE,2024-11-06,2025-02-11,228881642.44352,2362550.0,2365478.6,1892541.566666667,2.072178317885227,6.587293204927556,2.3574985377965674,3.0056623924461348,Strong buy,Sell
HUT,Hut 8 Corp.,Mid caps,1.4248218972628384,1.612298462692162,2498411547.6771164,26.67,27.1,Data processing services,"NASDAQ Composite, Russell 2000, Russell 3000, NASDAQ Computer, Mini-Russell 2000",Technology services,NASDAQ,2024-11-13,2025-03-27,83361771.0903,4985995.299999995,7328946.100000001,6052637.433333332,1.535256948934908,4.3771546576339535,1.6302303266280307,1.6522946250370023,Strong buy,Strong buy
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,Mid caps,1.3869625520110906,1.5256588072122097,9818084314.523102,14.42,14.64,Water utilities,,Utilities,NYSE,2024-11-12,2025-03-20,683417726.15,691233.1,875271.1,954851.8666666668,0.665750039724104,9.304843392846111,5.7612751646934175,0.6852649644173302,Strong buy,Sell
