Symbol,Description,Price,Price - Currency,Industry,Market capitalization,Market capitalization - Currency,Enterprise value,Enterprise value - Currency,Price to sales ratio,"Total revenue, Annual","Total revenue, Annual - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Revenue per employee, Annual","Revenue per employee, Annual - Currency"
ABSI,Absci Corporation,4.29,USD,Biotechnology,487156699.86486477,USD,313752305,USD,141.42822462153853,5718000,USD,-83964000,USD,36653.8461538462,USD
SGMO,"Sangamo Therapeutics, Inc.",2.04,USD,Biotechnology,424770172.24000007,USD,313642009,USD,24.918058157530343,176232000,USD,-186685000,USD,435140.740740741,USD
ALT,"Altimmune, Inc.",7.01,USD,Biotechnology,498207387.26756346,USD,312377682,USD,1160.107682127139,426000,USD,-95777000,USD,7220.3389830508495,USD
AVXL,Anavex Life Sciences Corp.,5.78,USD,Biotechnology,490118067.21374047,USD,305572490,USD,,0,USD,-51194000,USD,0,USD
TSHA,"Taysha Gene Therapies, Inc.",1.97,USD,Biotechnology,403738329.7085427,USD,292368196,USD,35.991213428882155,15451000,USD,-75738000,USD,297134.615384615,USD
LRMR,"Larimar Therapeutics, Inc.",8.01,USD,Biotechnology,511091114.00000006,USD,290622114,USD,,0,USD,-65516999.99999999,USD,0,USD
EXAI,Exscientia Plc,5.23,USD,Biotechnology,624927143,USD,281852931.2,USD,23.470290515177094,24959237.937670298,USD,-179291840,USD,51675.4408647418,USD
IVA,Inventiva S.A. - American Depository Shares,2.71,USD,Biotechnology,226982195.13439998,USD,272451188.88439995,USD,8.185695887769917,18894657.3934176,USD,-109507980,USD,153615.100759493,USD
PRTA,Prothena Corporation plc,17.59,USD,Biotechnology,945996228.8862745,USD,270832243.9951837,USD,3.8765174042099235,91370000.0006683,USD,-72980000,USD,528150.289021204,USD
MCRB,"Seres Therapeutics, Inc.",0.7,USD,Biotechnology,119140183.71400198,USD,261367165,USD,285.56855461310187,126325000,USD,-152131000,USD,542167.3819742489,USD
KMDA,Kamada Ltd.,5.47,USD,Biotechnology,314412865,USD,258960292.299534,USD,1.9956369979966555,144758789.20561576,USD,29169868.138100002,USD,382959.7598032159,USD
ALDX,"Aldeyra Therapeutics, Inc.",5.62,USD,Biotechnology,333949102.82065725,USD,251724322,USD,,0,USD,-42796090,USD,0,USD
PRTC,PureTech Health plc,20.165,USD,Biotechnology,469088786.9645,USD,243218786.96450004,USD,1155.333227105703,3330000,USD,-132208319.99999999,USD,,
PTCHF,PureTech Health PLC,1.9905,USD,Biotechnology,476534066.1557539,USD,243183050.8654158,USD,1075.8314128891561,3410227.841216542,USD,-133339563.859,USD,,
MXCT,"MaxCyte, Inc.",3.61,USD,Biotechnology,379372043.3473389,USD,236366474.99999997,USD,8.220725179186434,41288000,USD,-41800300,USD,288727.272727273,USD
CMPS,COMPASS Pathways Plc - American Depository Shares,6.36,USD,Biotechnology,429473320,USD,233074319.99999902,USD,,0,USD,-155341430,USD,0,USD
BSEM,"BioStem Technologies, Inc.",14.3475,USD,Biotechnology,234415713.8224965,USD,232935849,USD,2.2886732362165723,16685405,USD,11382630,USD,,
PGEN,"Precigen, Inc.",0.8448,USD,Biotechnology,243060630.16658822,USD,231361742,USD,48.8748127249942,6225000,USD,-88579000,USD,30816.8316831683,USD
TRDA,"Entrada Therapeutics, Inc.",17.37,USD,Biotechnology,646156186.0559154,USD,226717357,USD,2.519933093188302,129013000,USD,96823000,USD,811402.51572327,USD
GALT,Galectin Therapeutics Inc.,2.49,USD,Biotechnology,155072532.49003989,USD,226408095,USD,,0,USD,-39631000,USD,0,USD
CCCC,"C4 Therapeutics, Inc.",6,USD,Biotechnology,416026510.6960951,USD,212718358,USD,13.795780022806174,20756000,USD,-108701000,USD,143144.82758620701,USD
DRUG,Bright Minds Biosciences Inc.,47.64,USD,Biotechnology,212657201.38488892,USD,212248729.8362,USD,,0,USD,-2576214.376,USD,,
CTNM,"Contineum Therapeutics, Inc.",17.07,USD,Biotechnology,439096342.34811264,USD,211265497.00000003,USD,,50000000,USD,,,1612903.22580645,USD
ARMP,"Armata Pharmaceuticals, Inc.",2.3225,USD,Biotechnology,84035177.83995815,USD,206212535,USD,37.43195378865285,4529000,USD,-40911000,USD,68621.2121212121,USD
