date,company,cik,ticker,industry
2022-12-23,Social Leverage Acquisition Corp I,1834755,,
2022-12-23,Drive Shack Inc.,1175483,DSHK,Retail-Eating & Drinking Places
2022-12-23,Hoegh LNG Partners LP,1603016,HMLPF,Water Transportation
2022-12-22,Quotient Ltd,1596946,,
2022-12-21,"Ever-Glory International Group, Inc.",943184,,
2022-12-19,NORTHERN LIGHTS FUND TRUST II,1518042,,
2022-12-19,TWILIO INC,1447669,TWLO,Services-Prepackaged Software
2022-12-16,AMERCO /NV/,4457,UHAL,Services-Auto Rental & Leasing (No Drivers)
2022-12-16,CCC Intelligent Solutions Holdings Inc.,1818201,CCCS,Services-Prepackaged Software
2022-12-15,Zymeworks Inc.,1937653,ZYME,Pharmaceutical Preparations
2022-12-13,"Live Oak Bancshares, Inc.",1462120,LOB,State Commercial Banks
2022-12-12,Horizon Acquisition Corp II,1821788,,
2022-12-12,Venus Acquisition Corp,1800392,MLGO,Services-Computer Programming Services
2022-12-02,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",1059142,GHI,Finance Services
2022-12-01,ETF Series Solutions,1540305,,
2022-11-30,Exchange Listed Funds Trust,1547950,,
2022-11-25,"First Light Acquisition Group, Inc.",1855485,CLDI,"Biological Products, (No Diagnostic Substances)"
2022-11-14,8X8 INC /DE/,1023731,EGHT,Services-Computer Processing & Data Preparation
2022-11-10,HPX Corp.,1809353,,
2022-11-07,FedNat Holding Co,1069996,,
2022-11-07,PIMCO ETF Trust,1450011,,
2022-11-04,"WisdomTree Investments, Inc.",880631,WT,"Security Brokers, Dealers & Flotation Companies"
2022-11-04,Sierra Metals Inc.,1705259,SMTSF,Metal Mining
2022-10-31,Victory Portfolios II,1547580,,
2022-10-31,Pacer Funds Trust,1616668,,
2022-10-27,BOA Acquisition Corp.,1838544,,
2022-10-25,SAFEGUARD SCIENTIFICS INC,86115,SFES,"Investors, NEC"
2022-10-21,Kinetik Holdings Inc.,1692787,KNTK,Natural Gas Transmission
2022-10-18,Tailwind Acquisition Corp.,1814215,BURU,"Miscellaneous Electrical Machinery, Equipment & Supplies"
2022-10-13,IndexIQ ETF Trust,1415995,,
2022-10-11,PMV Consumer Acquisition Corp.,1807765,PMVC,Blank Checks
2022-10-07,"Dream Finders Homes, Inc.",1825088,DFH,Operative Builders
2022-10-03,FOXO TECHNOLOGIES INC.,1812360,FOXO,Services-Commercial Physical & Biological Research
2022-09-26,"GAMCO INVESTORS, INC. ET AL",1060349,GAMI,"Security Brokers, Dealers & Flotation Companies"
2022-09-26,FOXO TECHNOLOGIES INC.,1812360,FOXO,Services-Commercial Physical & Biological Research
2022-09-23,RBC Bearings INC,1324948,RBC,Ball & Roller Bearings
2022-09-20,Zealand Pharma A/S,1674988,,
2022-09-13,Arrow Investments Trust,1527428,,
2022-09-13,Arrow Investments Trust,1527428,,
2022-09-12,Permian Resources Corp,1658566,PR,Crude Petroleum & Natural Gas
2022-09-12,Burcon NutraScience Corp,1158399,BRCNF,Dairy Products
2022-09-08,"Vivani Medical, Inc.",1266806,VANI,Electromedical & Electrotherapeutic Apparatus
2022-09-02,J.P. Morgan Exchange-Traded Fund Trust,1485894,,
2022-09-01,ALJ REGIONAL HOLDINGS INC,1438731,,
2022-08-30,CRYO CELL INTERNATIONAL INC,862692,CCEL,"Services-Misc Health & Allied Services, NEC"
2022-08-29,PETROCHINA CO LTD,1108329,PCCYF,Crude Petroleum & Natural Gas
2022-08-29,CHINA PETROLEUM & CHEMICAL CORP,1123658,SNPMF,Petroleum Refining
2022-08-26,SINOPEC SHANGHAI PETROCHEMICAL CO LTD,908732,SPTJF,"Plastic Materials, Synth Resins & Nonvulcan Elastomers"
2022-08-22,ALUMINUM CORP OF CHINA LTD,1161611,ALMMF,Primary Production of  Aluminum
2022-08-22,"LMP Automotive Holdings, Inc.",1731727,LMPX,Retail-Auto Dealers & Gasoline Stations
2022-08-22,CHINA LIFE INSURANCE CO LTD,1268896,CILJF,Life Insurance
2022-08-17,UNITED BANCSHARES INC/OH,1087456,UBOH,National Commercial Banks
2022-08-16,Skylight Health Group Inc.,1839730,,
2022-08-15,"Rubicon Technologies, Inc.",1862068,RBTC,Services-Prepackaged Software
2022-08-03,L&F Acquisition Corp.,1823575,,
2022-08-01,Gobi Acquisition Corp.,1854593,,
2022-07-29,SILGAN HOLDINGS INC,849869,SLGN,Metal Cans
2022-07-29,Duddell Street Acquisition Corp.,1823466,NOTE,"Services-Business Services, NEC"
2022-07-29,GENCOR INDUSTRIES INC,64472,GENC,Construction Machinery & Equip
2022-07-27,Global Synergy Acquisition Corp.,1823707,,
2022-07-11,ENEL AMERICAS S.A.,912505,,
2022-07-11,L&F Acquisition Corp.,1823575,,
2022-06-29,Global X Funds,1432353,,
2022-06-27,HUANENG POWER INTERNATIONAL INC,929058,HUNGF,Electric Services
2022-06-15,Oaktree Acquisition Corp. II,1820931,,
2022-06-13,Sitio Royalties Corp.,1703785,,
2022-06-10,ENEL AMERICAS S.A.,912505,,
2022-06-03,WVS FINANCIAL CORP,910679,WVFC,"Savings Institutions, Not Federally Chartered"
2022-06-02,DiDi Global Inc.,1764757,DIDIY,"Services-Business Services, NEC"
2022-06-02,"GENOCEA BIOSCIENCES, INC.",1457612,,
2022-05-23,NICOLET BANKSHARES INC,1174850,NIC,National Commercial Banks
2022-05-20,"CareTrust REIT, Inc.",1590717,CTRE,Real Estate Investment Trusts
2022-05-17,Artisan Acquisition Corp.,1844840,,
2022-05-12,Tidal ETF Trust,1742912,,
2022-05-09,"Eve Holding, Inc.",1823652,EVEX,Aircraft
2022-05-06,Tecnoglass Inc.,1534675,TGLS,Flat Glass
2022-05-03,HUTTIG BUILDING PRODUCTS INC,1093082,,
2022-05-02,NUSCALE POWER Corp,1822966,SMR,Fabricated Plate Work (Boiler Shops)
2022-04-25,"Symbolic Logic, Inc.",1052054,EVOL,Services-Computer Programming Services
2022-04-25,Fortress Transportation & Infrastructure Investors LLC,1590364,FTAI,Services-Miscellaneous Equipment Rental & Leasing
2022-04-18,"Kaleido Biosciences, Inc.",1751299,KLDO,"Biological Products, (No Diagnostic Substances)"
2022-04-13,PENNANTPARK INVESTMENT CORP,1383414,PNNT,
2022-04-13,PennantPark Floating Rate Capital Ltd.,1504619,PFLT,
2022-04-12,SPDR INDEX SHARES FUNDS,1168164,,
2022-04-04,CyrusOne Finance Corp.,1575815,,
2022-04-04,Poema Global Holdings Corp.,1826333,,
2022-04-04,CyrusOne LP,1575810,,
2022-03-28,Retail Value Inc.,1735184,,
2022-03-21,Orphazyme A/S,1764791,,
2022-03-17,Bridgetown 2 Holdings Ltd,1831236,,
2022-03-11,NexGen Energy Ltd.,1698535,NXE,Miscellaneous Metal Ores
2022-03-04,Just Eat Takeaway.com N.V.,1792627,TKAYF,"Services-Business Services, NEC"
2022-03-02,"NORTHERN OIL & GAS, INC.",1104485,NOG,Crude Petroleum & Natural Gas
2022-03-02,DBX ETF TRUST,1503123,,
2022-03-02,DBX ETF TRUST,1503123,,
2022-03-01,"Rigetti Computing, Inc.",1838359,RGTI,Blank Checks
2022-02-24,Biofrontera AG,1712641,,
2022-02-15,Sky Harbour Group Corp,1823587,SKYH,Real Estate
2022-02-14,Spark Networks SE,1705338,,
2022-02-11,"HEAT BIOLOGICS, INC.",1476963,SCPX,Pharmaceutical Preparations
2022-02-09,SILVERBOX ENGAGED MERGER CORP I,1836707,,
2022-02-01,DAXOR CORP,27367,DXR,
2022-01-31,Goldman Sachs Physical Gold ETF,1708646,AAAU,Commodity Contracts Brokers & Dealers
2022-01-31,China Finance Online Co. LTD,1297830,,
2022-01-21,WESTPAC BANKING CORP,719245,WEBNF,"Commercial Banks, NEC"
2022-01-13,BOSTON OMAHA Corp,1494582,BOC,Real Estate Operators (No Developers) & Lessors
2022-01-10,"nCino OpCo, Inc.",1566895,,
2022-01-05,"VPC Impact Acquisition Holdings III, Inc.",1841408,DAVE,Finance Services
2022-01-03,Yellowstone Acquisition Co,1823587,SKYH,Real Estate
2021-12-30,"Kinsale Capital Group, Inc.",1669162,KNSL,"Fire, Marine & Casualty Insurance"
2021-12-28,Collaborative Investment Series Trust,1719812,,
2021-12-27,"Global Indemnity Group, LLC",1494904,GBLI,"Fire, Marine & Casualty Insurance"
2021-12-27,"Global Indemnity Group, LLC",1494904,GBLI,"Fire, Marine & Casualty Insurance"
2021-12-22,GUINNESS ATKINSON FUNDS,919160,,
2021-12-20,"CONDOR HOSPITALITY TRUST, INC.",929545,,
2021-12-16,"GLACIER BANCORP, INC.",868671,GBCI,State Commercial Banks
2021-12-10,"Green Brick Partners, Inc.",1373670,GRBK,Operative Builders
2021-12-10,MAXLINEAR INC,1288469,MXL,Semiconductors & Related Devices
2021-12-08,"Boxed, Inc.",1828672,,
2021-12-07,TPG Pace Solutions Corp.,1840927,,
2021-12-07,"BigBear.ai Holdings, Inc.",1836981,BBAI,Services-Prepackaged Software
2021-12-06,GARMIN LTD,1121788,GRMN,"Search, Detection, Navigation, Guidance, Aeronautical Sys"
2021-12-06,Baker Hughes Co,1701605,BKR,Oil & Gas Field Machinery & Equipment
2021-12-06,Yunhong International,1773086,,
2021-12-06,Baker Hughes Holdings LLC,808362,,
2021-11-26,"Annovis Bio, Inc.",1477845,ANVS,Pharmaceutical Preparations
2021-11-19,HOME BANCSHARES INC,1331520,HOMB,State Commercial Banks
2021-11-10,"Embark Technology, Inc.",1827980,,
2021-11-05,"Nextdoor Holdings, Inc.",1846069,KIND,"Services-Computer Programming, Data Processing, Etc."
2021-11-01,TELLURIAN INC. /DE/,61398,TELZ,Crude Petroleum & Natural Gas
2021-10-29,Vedanta Ltd,1370431,,
2021-10-29,"HELIOS TECHNOLOGIES, INC.",1024795,HLIO,Miscellaneous Fabricated Metal Products
2021-10-25,Alpha Architect ETF Trust,1592900,,
2021-10-22,Palo Alto Networks Inc,1327567,PANW,"Computer Peripheral Equipment, NEC"
2021-10-22,ALKURI GLOBAL ACQUISITION CORP.,1836967,,
2021-10-22,"Brooklyn ImmunoTherapeutics, Inc.",748592,ERNA,Pharmaceutical Preparations
2021-10-20,BowX Acquisition Corp.,1813756,,
2021-10-19,"CBM BANCORP, INC.",1742089,,
2021-10-19,Navitas Semiconductor Corp,1821769,NVTS,Semiconductors & Related Devices
2021-10-19,Innovator ETFs Trust II,1595106,,
2021-10-19,Innovator ETFs Trust II,1595106,,
2021-10-18,OI S.A. - In Judicial Reorganization,1160846,,
2021-10-18,Horizon Acquisition Corp,1817071,,
2021-10-15,"Bakkt Holdings, Inc.",1820302,BKKT,Finance Services
2021-10-08,ACON S2 Acquisition Corp.,1819438,GWH,"Miscellaneous Electrical Machinery, Equipment & Supplies"
2021-10-06,Ardagh Group S.A.,1689662,,
2021-10-01,"CREE, INC.",895419,WOLF,Semiconductors & Related Devices
2021-09-24,Sarcos Technology & Robotics Corporation.,1826681,PDYN,Services-Prepackaged Software
2021-09-20,Xerox Holdings Corp,1770450,XRX,"Computer Peripheral Equipment, NEC"
2021-09-20,"Taiwan Liposome Company, Ltd.",1722890,,
2021-09-20,WASHINGTON PRIME GROUP INC.,1594686,,
2021-09-20,WASHINGTON PRIME GROUP INC.,1594686,,
2021-09-20,WASHINGTON PRIME GROUP INC.,1594686,,
2021-09-16,Soaring Eagle Acquisition Corp.,1830214,DNA,"Biological Products, (No Diagnostic Substances)"
2021-09-10,"Kaleyra, Inc.",1719489,,
2021-09-10,COCA-COLA EUROPACIFIC PARTNERS plc,1650107,CCEP,Bottled & Canned Soft Drinks & Carbonated Waters
2021-09-09,Sustainable Opportunities Acquisition Corp.,1798562,TMC,Metal Mining
2021-09-08,LORAL SPACE & COMMUNICATIONS INC.,1006269,,
2021-08-24,Fifth Wall Acquisition Corp. I,1837014,SMRT,Services-Computer Integrated Systems Design
2021-08-23,HEXO Corp.,1690947,,
2021-08-13,"22nd Century Group, Inc.",1347858,XXII,Cigarettes
2021-08-11,Consonance-HFW Acquisition Corp.,1824893,SRZN,"Biological Products, (No Diagnostic Substances)"
2021-08-04,Gores Holdings V Inc.,1816816,,
2021-08-02,HILLMAN COMPANIES INC,1029831,,
2021-07-23,Churchill Capital Corp IV,1811210,LCID,Motor Vehicles & Passenger Car Bodies
2021-07-21,"MARKETWISE, INC.",1805651,MKTW,Services-Prepackaged Software
2021-07-16,"Builders FirstSource, Inc.",1316835,BLDR,Retail-Lumber & Other Building Materials Dealers
2021-07-12,Watford Holdings Ltd.,1601669,,
2021-07-01,Climate Change Crisis Real Impact I Acquisition Corp,1821159,EVGO,"Services-Automotive Repair, Services & Parking"
