date,company,cik,form
2021-12-16,"GLACIER BANCORP, INC.",868671,25
2021-12-10,"Green Brick Partners, Inc.",1373670,25
2021-12-10,MAXLINEAR INC,1288469,25
2021-12-08,"Boxed, Inc.",1828672,25
2021-12-07,TPG Pace Solutions Corp.,1840927,25
2021-12-07,"BigBear.ai Holdings, Inc.",1836981,25
2021-12-06,GARMIN LTD,1121788,25
2021-12-06,Baker Hughes Co,1701605,25
2021-12-06,Yunhong International,1773086,25
2021-12-06,Baker Hughes Holdings LLC,808362,25
2021-11-26,"Annovis Bio, Inc.",1477845,25
2021-11-19,HOME BANCSHARES INC,1331520,25
2021-11-10,"Embark Technology, Inc.",1827980,25
2021-11-05,"Nextdoor Holdings, Inc.",1846069,25
2021-11-01,TELLURIAN INC. /DE/,61398,25
2021-10-29,"HELIOS TECHNOLOGIES, INC.",1024795,25
2021-10-29,Vedanta Ltd,1370431,25
2021-10-25,Alpha Architect ETF Trust,1592900,25
2021-10-22,Palo Alto Networks Inc,1327567,25
2021-10-22,"Brooklyn ImmunoTherapeutics, Inc.",748592,25
2021-10-22,ALKURI GLOBAL ACQUISITION CORP.,1836967,25
2021-10-20,BowX Acquisition Corp.,1813756,25
2021-10-19,Innovator ETFs Trust II,1595106,25
2021-10-19,Innovator ETFs Trust II,1595106,25
2021-10-19,"CBM BANCORP, INC.",1742089,25
2021-10-19,Navitas Semiconductor Corp,1821769,25
2021-10-18,Horizon Acquisition Corp,1817071,25
2021-10-18,OI S.A. - In Judicial Reorganization,1160846,25
2021-10-15,"Bakkt Holdings, Inc.",1820302,25
2021-10-08,ACON S2 Acquisition Corp.,1819438,25
2021-10-06,Ardagh Group S.A.,1689662,25
2021-10-01,"CREE, INC.",895419,25
2021-09-24,Sarcos Technology & Robotics Corporation.,1826681,25
2021-09-20,WASHINGTON PRIME GROUP INC.,1594686,25
2021-09-20,WASHINGTON PRIME GROUP INC.,1594686,25
2021-09-20,WASHINGTON PRIME GROUP INC.,1594686,25
2021-09-20,Xerox Holdings Corp,1770450,25
2021-09-20,"Taiwan Liposome Company, Ltd.",1722890,25
2021-09-16,Soaring Eagle Acquisition Corp.,1830214,25
2021-09-10,"Kaleyra, Inc.",1719489,25
2021-09-10,COCA-COLA EUROPACIFIC PARTNERS plc,1650107,25
2021-09-09,Sustainable Opportunities Acquisition Corp.,1798562,25
2021-09-08,LORAL SPACE & COMMUNICATIONS INC.,1006269,25
2021-08-24,Fifth Wall Acquisition Corp. I,1837014,25
2021-08-23,HEXO Corp.,1690947,25
2021-08-13,"22nd Century Group, Inc.",1347858,25
2021-08-11,Consonance-HFW Acquisition Corp.,1824893,25
2021-08-04,Gores Holdings V Inc.,1816816,25
2021-08-02,HILLMAN COMPANIES INC,1029831,25
2021-07-23,Churchill Capital Corp IV,1811210,25
2021-07-21,"MARKETWISE, INC.",1805651,25
2021-07-16,"Builders FirstSource, Inc.",1316835,25
2021-07-12,Watford Holdings Ltd.,1601669,25
2021-07-01,Climate Change Crisis Real Impact I Acquisition Corp,1821159,25
2021-06-30,ION Acquisition Corp 1 Ltd.,1821018,25
2021-06-28,A. H. Belo Corp,1413898,25
2021-06-21,"ServisFirst Bancshares, Inc.",1430723,25
2021-06-21,"Ocean Power Technologies, Inc.",1378140,25
2021-06-21,Greenrose Acquisition Corp.,1790665,25
2021-06-16,VG Acquisition Corp.,1804591,25
2021-06-07,"InspireMD, Inc.",1433607,25
2021-06-07,INTELLIGENT SYSTEMS CORP,320340,25
2021-06-02,AdvisorShares Trust,1408970,25
2021-05-28,Social Capital Hedosophia Holdings Corp. V,1818874,25
2021-05-24,AURORA CANNABIS INC,1683541,25
2021-05-20,"InspireMD, Inc.",1433607,25
2021-05-17,Bluegreen Vacations Holding Corp,315858,25
2021-05-12,Golar LNG Partners LP,1415916,25
2021-05-10,HONEYWELL INTERNATIONAL INC,773840,25
2021-04-26,Bioceres Crop Solutions Corp.,1769484,25
2021-04-16,"LEE ENTERPRISES, Inc",58361,25
2021-04-16,"Woodward, Inc.",108312,25
2021-04-05,"Dave & Buster's Entertainment, Inc.",1525769,25
2021-03-19,ALPS ETF Trust,1414040,25
2021-03-19,ALPS ETF Trust,1414040,25
2021-03-18,"WESTWATER RESOURCES, INC.",839470,25
2021-03-15,Davis Fundamental ETF Trust,1670310,25
2021-03-15,Davis Fundamental ETF Trust,1670310,25
2021-03-15,Davis Fundamental ETF Trust,1670310,25
2021-03-15,"Genesis Healthcare, Inc.",1351051,25
2021-03-15,Davis Fundamental ETF Trust,1670310,25
2021-03-15,INSTEEL INDUSTRIES INC,764401,25
2021-03-05,OncoCyte Corp,1642380,25
2021-02-11,"Oblong, Inc.",746210,25
2021-02-01,CorMedix Inc.,1410098,25
2021-01-29,Cellcom Israel Ltd.,1385145,25
2021-01-29,"Ra Medical Systems, Inc.",1716621,25
2021-01-29,CHART INDUSTRIES INC,892553,25
2021-01-21,"Gores Holdings IV, Inc.",1783398,25
2021-01-19,Wanda Sports Group Co Ltd,1771279,25
2021-01-15,National General Holdings Corp.,1578735,25
2021-01-07,Social Capital Hedosophia Holdings Corp. III,1801170,25
2021-01-04,Medley Capital Corp,1490349,25
2021-01-04,Medley Capital Corp,1490349,25
2020-12-31,Managed Portfolio Series,1511699,25
2020-12-31,Managed Portfolio Series,1511699,25
2020-12-31,ChampionX Corp,1723089,25
2020-12-28,AMGEN INC,318154,25
2020-12-28,"PDL BIOPHARMA, INC.",882104,25
